group,value,cond,n,p_cross_to_good,ci_good,p_cross_to_bad,ci_bad,asymmetry
explicit_aiming,False,pooled,112,0.05357142857142857,"(0.02478060121872317, 0.11197165358438729)",0.008928571428571428,"(0.0015778140883850752, 0.04884966619503642)",0.04464285714285714
user_intent_reading,False,above_good,44,0.25,"(0.14574066080685744, 0.39440849808414946)",0.0,"(0.0, 0.08029831778201396)",0.25
user_intent_reading,False,below_good,39,0.10256410256410256,"(0.040612655582869875, 0.23579158702244832)",0.0,"(0.0, 0.08966985360023902)",0.10256410256410256
user_intent_reading,False,pooled,83,0.18072289156626506,"(0.1126926689223679, 0.27700074989994766)",0.0,"(0.0, 0.04423686343872062)",0.18072289156626506
threshold_as_evidence,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
threshold_as_evidence,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
threshold_as_evidence,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
suspicion,False,above_good,31,0.3870967741935484,"(0.23732875351271562, 0.5617619885886803)",0.0,"(0.0, 0.11025900073475385)",0.3870967741935484
suspicion,False,below_good,19,0.05263157894736842,"(0.00935175249052995, 0.24639215336545212)",0.0,"(0.0, 0.16818436536845052)",0.05263157894736842
suspicion,False,pooled,50,0.26,"(0.15871379651367384, 0.39553421988999915)",0.0,"(0.0, 0.07135003417431873)",0.26
baseline[good=above],,baseline,100,0.2,"(0.1333659225590988, 0.28883096192650237)",0.01,"(0.0017673865655472639, 0.05448752476093461)",0.19
baseline[good=below],,baseline,100,0.01,"(0.0017673865655472639, 0.05448752476093461)",0.2,"(0.1333659225590988, 0.28883096192650237)",-0.19
